tx_id,client_id,merchant_id,amount,hour,country,channel,distance_km,account_age_days,is_fraud,client_tx_freq
1,108,544,274.9,9,ES,pos,9.52,1268,0,0.6
2,928,470,340.65,21,BR,app,1.59,1019,0,0.3
3,785,651,69.86,23,BR,pos,7.48,1056,0,0.4
4,527,672,311.33,23,AR,online,6.28,640,0,0.2
5,520,493,105.27,2,BR,pos,2.03,1120,0,0.4
6,1030,260,158.2,11,BR,online,11.4,852,0,0.3
7,104,419,181.9,1,BR,online,15.2,240,0,0.5
8,837,298,294.22,11,MX,online,7.89,803,0,0.2
9,242,440,227.48,13,MX,online,6.15,1733,0,0.3
10,113,568,102.24,18,MX,pos,12.03,607,0,0.2
11,632,259,12.19,8,US,online,0.29,1236,0,0.2
12,1170,354,196.07,0,BR,online,5.59,758,0,0.5
13,883,32,153.3,10,MX,pos,5.94,522,0,0.3
14,913,515,40.52,10,PT,online,8.09,703,0,0.2
15,861,343,167.31,14,BR,online,1.9,1750,1,0.5
16,943,322,136.28,2,ES,online,1.04,203,0,0.2
17,616,373,338.39,14,PT,online,3.24,1219,0,0.2
18,154,151,472.42,9,BR,pos,11.27,1515,0,0.6
19,1007,418,270.19,17,BR,online,5.86,338,0,0.6
20,541,521,130.18,23,BR,online,3.22,1380,0,0.5
21,600,245,146.02,5,AR,online,26.33,1162,0,0.1
22,445,92,67.63,18,BR,online,6.14,616,0,0.5
23,219,271,79.73,3,BR,online,8.13,323,0,0.3
24,1112,139,124.28,23,BR,online,19.1,1724,0,0.2
25,938,262,114.13,11,PT,online,9.06,360,0,0.3
26,772,439,38.13,17,MX,online,11.95,1732,0,0.1
27,483,80,340.77,18,AR,app,3.99,1183,0,0.4
28,987,523,373.37,14,BR,online,8.48,1563,0,0.5
29,654,158,333.38,9,BR,online,24.12,541,0,0.4
30,532,626,381.93,18,US,pos,10.87,54,0,0.1
31,541,512,563.89,11,BR,online,9.74,1196,0,0.5
32,273,191,68.81,15,BR,pos,6.65,678,0,0.2
33,111,394,548.05,14,ES,online,2.46,1004,1,0.1
34,665,78,101.72,11,BR,pos,17.71,835,0,0.4
35,1065,70,217.72,2,US,app,7.64,587,0,0.3
36,77,669,28.85,7,US,online,4.51,1311,0,0.2
37,1030,561,91.04,22,MX,online,2.2,914,0,0.3
38,993,108,275.56,12,BR,pos,10.12,1158,0,0.1
39,332,198,225.24,15,BR,app,2.87,1227,0,0.2
40,758,139,100.08,6,BR,online,17.82,1238,1,0.2
41,199,277,145.97,16,BR,pos,4.75,603,0,0.7
42,909,204,82.95,11,BR,online,8.62,1400,0,0.3
43,840,230,275.04,5,BR,pos,10.71,401,0,0.6
44,426,371,356.24,3,AR,online,9.82,1730,1,0.2
45,82,133,69.09,9,BR,pos,15.24,1477,0,0.3
46,1164,618,134.71,13,BR,online,5.13,1006,0,0.4
47,535,509,36.5,6,BR,pos,8.18,329,0,0.3
48,1071,532,163.56,5,BR,online,12.42,1649,0,0.3
49,813,119,201.54,6,BR,pos,22.57,1012,1,0.5
50,934,496,173.72,7,BR,pos,14.48,1487,0,0.5
51,912,585,190.2,17,ES,pos,16.42,51,0,0.2
52,234,123,123.67,11,ES,app,6.27,617,0,0.5
53,437,526,126.03,11,AR,pos,10.86,547,1,0.5
54,560,251,121.41,3,BR,pos,20.39,1485,0,0.2
55,597,551,88.68,13,AR,online,7.86,848,0,0.3
56,53,335,98.36,23,PT,app,10.91,215,0,0.6
57,656,561,194.95,17,BR,pos,1.7,1123,0,0.4
58,185,104,341.02,10,BR,online,13.3,290,0,0.8
59,892,272,58.25,7,US,online,9.66,815,0,0.5
60,819,192,125.66,8,ES,pos,12.67,1811,0,0.3
61,1107,174,46.94,0,BR,pos,6.39,793,0,0.2
62,893,216,90.08,0,BR,pos,1.28,782,0,0.1
63,440,268,103.31,18,BR,pos,13.75,74,0,0.5
64,1161,89,154.99,20,BR,online,4.47,841,0,0.3
65,493,495,151.73,23,AR,app,1.91,1748,0,0.1
66,391,385,133.76,15,BR,pos,9.17,1735,0,0.5
67,1086,580,183.53,22,ES,pos,24.55,1758,0,0.2
68,445,493,63.7,9,AR,pos,3.9,660,0,0.5
69,92,105,155.96,6,BR,pos,4.64,120,0,0.3
70,563,49,229.82,5,MX,pos,14.24,433,0,0.6
